mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 18400, Residual: 1.862678e+04, Error: 1.857471e+02
Iteration 18500, Residual: 1.839061e+04, Error: 1.837070e+02
Iteration 18600, Residual: 1.815804e+04, Error: 1.816920e+02
Iteration 18700, Residual: 1.792901e+04, Error: 1.797018e+02
Iteration 18800, Residual: 1.770346e+04, Error: 1.777360e+02
Iteration 18900, Residual: 1.748132e+04, Error: 1.757942e+02
Iteration 19000, Residual: 1.726254e+04, Error: 1.738762e+02
Iteration 19100, Residual: 1.704705e+04, Error: 1.719815e+02
Iteration 19200, Residual: 1.683478e+04, Error: 1.701098e+02
Iteration 19300, Residual: 1.662569e+04, Error: 1.682608e+02
Iteration 19400, Residual: 1.641972e+04, Error: 1.664341e+02
Iteration 19500, Residual: 1.621680e+04, Error: 1.646294e+02
Iteration 19600, Residual: 1.601689e+04, Error: 1.628465e+02
Iteration 19700, Residual: 1.581994e+04, Error: 1.610849e+02
Iteration 19800, Residual: 1.562588e+04, Error: 1.593444e+02
Iteration 19900, Residual: 1.543466e+04, Error: 1.576246e+02
Iteration 20000, Residual: 1.524625e+04, Error: 1.559254e+02
Iteration 20100, Residual: 1.506058e+04, Error: 1.542463e+02
Iteration 20200, Residual: 1.487761e+04, Error: 1.525872e+02
Iteration 20300, Residual: 1.469729e+04, Error: 1.509476e+02
Iteration 20400, Residual: 1.451957e+04, Error: 1.493275e+02
Iteration 20500, Residual: 1.434442e+04, Error: 1.477264e+02
Iteration 20600, Residual: 1.417177e+04, Error: 1.461441e+02
Iteration 20700, Residual: 1.400160e+04, Error: 1.445803e+02
Iteration 20800, Residual: 1.383385e+04, Error: 1.430349e+02
Iteration 20900, Residual: 1.366849e+04, Error: 1.415074e+02
Iteration 21000, Residual: 1.350547e+04, Error: 1.399978e+02
Iteration 21100, Residual: 1.334475e+04, Error: 1.385058e+02
Iteration 21200, Residual: 1.318630e+04, Error: 1.370310e+02
Iteration 21300, Residual: 1.303007e+04, Error: 1.355733e+02
Iteration 21400, Residual: 1.287602e+04, Error: 1.341324e+02
Iteration 21500, Residual: 1.272413e+04, Error: 1.327082e+02
Iteration 21600, Residual: 1.257434e+04, Error: 1.313003e+02
Iteration 21700, Residual: 1.242664e+04, Error: 1.299086e+02
Iteration 21800, Residual: 1.228097e+04, Error: 1.285329e+02
Iteration 21900, Residual: 1.213731e+04, Error: 1.271729e+02
Iteration 22000, Residual: 1.199562e+04, Error: 1.258284e+02
Iteration 22100, Residual: 1.185587e+04, Error: 1.244992e+02
Iteration 22200, Residual: 1.171803e+04, Error: 1.231852e+02
Iteration 22300, Residual: 1.158206e+04, Error: 1.218861e+02
Iteration 22400, Residual: 1.144794e+04, Error: 1.206017e+02
Iteration 22500, Residual: 1.131563e+04, Error: 1.193318e+02
Iteration 22600, Residual: 1.118510e+04, Error: 1.180763e+02
Iteration 22700, Residual: 1.105633e+04, Error: 1.168349e+02
Iteration 22800, Residual: 1.092928e+04, Error: 1.156075e+02
Iteration 22900, Residual: 1.080392e+04, Error: 1.143939e+02
Iteration 23000, Residual: 1.068024e+04, Error: 1.131939e+02
Iteration 23100, Residual: 1.055820e+04, Error: 1.120074e+02
Iteration 23200, Residual: 1.043777e+04, Error: 1.108341e+02
Iteration 23300, Residual: 1.031893e+04, Error: 1.096738e+02
Iteration 23400, Residual: 1.020165e+04, Error: 1.085266e+02
Iteration 23500, Residual: 1.008592e+04, Error: 1.073921e+02
Iteration 23600, Residual: 9.971690e+03, Error: 1.062701e+02
Iteration 23700, Residual: 9.858954e+03, Error: 1.051607e+02
Iteration 23800, Residual: 9.747682e+03, Error: 1.040635e+02
Iteration 23900, Residual: 9.637852e+03, Error: 1.029784e+02
Iteration 24000, Residual: 9.529441e+03, Error: 1.019054e+02
Iteration 24100, Residual: 9.422427e+03, Error: 1.008441e+02
Iteration 24200, Residual: 9.316787e+03, Error: 9.979455e+01
Iteration 24300, Residual: 9.212501e+03, Error: 9.875652e+01
Iteration 24400, Residual: 9.109546e+03, Error: 9.772989e+01
