mpicxx -O3 -DUSE_HIP -w src/task1.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 19600, Residual: 6.271446e+02, Error: 7.007755e+00
Iteration 19700, Residual: 6.129764e+02, Error: 6.848914e+00
Iteration 19800, Residual: 5.991303e+02, Error: 6.693660e+00
Iteration 19900, Residual: 5.855988e+02, Error: 6.541909e+00
Iteration 20000, Residual: 5.723746e+02, Error: 6.393584e+00
Iteration 20100, Residual: 5.594506e+02, Error: 6.248605e+00
Iteration 20200, Residual: 5.468200e+02, Error: 6.106899e+00
Iteration 20300, Residual: 5.344759e+02, Error: 5.968389e+00
Iteration 20400, Residual: 5.224118e+02, Error: 5.833005e+00
Iteration 20500, Residual: 5.106213e+02, Error: 5.700674e+00
Iteration 20600, Residual: 4.990980e+02, Error: 5.571329e+00
Iteration 20700, Residual: 4.878359e+02, Error: 5.444901e+00
Iteration 20800, Residual: 4.768289e+02, Error: 5.321325e+00
Iteration 20900, Residual: 4.660713e+02, Error: 5.200535e+00
Iteration 21000, Residual: 4.555572e+02, Error: 5.082470e+00
Iteration 21100, Residual: 4.452813e+02, Error: 4.967067e+00
Iteration 21200, Residual: 4.352379e+02, Error: 4.854265e+00
Iteration 21300, Residual: 4.254217e+02, Error: 4.744008e+00
Iteration 21400, Residual: 4.158277e+02, Error: 4.636236e+00
Iteration 21500, Residual: 4.064507e+02, Error: 4.530894e+00
Iteration 21600, Residual: 3.972858e+02, Error: 4.427926e+00
Iteration 21700, Residual: 3.883281e+02, Error: 4.327280e+00
Iteration 21800, Residual: 3.795730e+02, Error: 4.228902e+00
Iteration 21900, Residual: 3.710157e+02, Error: 4.132742e+00
Iteration 22000, Residual: 3.626519e+02, Error: 4.038749e+00
Iteration 22100, Residual: 3.544770e+02, Error: 3.946875e+00
Iteration 22200, Residual: 3.464869e+02, Error: 3.857071e+00
Iteration 22300, Residual: 3.386772e+02, Error: 3.769291e+00
Iteration 22400, Residual: 3.310440e+02, Error: 3.683490e+00
Iteration 22500, Residual: 3.235831e+02, Error: 3.599621e+00
Iteration 22600, Residual: 3.162907e+02, Error: 3.517643e+00
Iteration 22700, Residual: 3.091630e+02, Error: 3.437512e+00
Iteration 22800, Residual: 3.021962e+02, Error: 3.359187e+00
